name,image,rating,ratings_count,genres,platforms,tags,features
Wasteland,https://media.rawg.io/media/screenshots/5ad/5adb88d1c6b9fc4fde1f372c9b6e451b.jpg,2.63,128,Adventure|RPG|Strategy|Indie,Commodore / Amiga|Apple II|Classic Macintosh|macOS|PC|iOS|Linux,Singleplayer|Steam Cloud|RPG|2D|Sci-fi|Classic|Pixel Graphics|Retro|role-playing|Turn-Based|Post-apocalyptic|CRPG|1980s,adventure rpg strategy indie commodore_/_amiga apple_ii classic_macintosh macos pc ios linux singleplayer steam_cloud rpg 2d sci-fi classic pixel_graphics retro role-playing turn-based post-apocalyptic crpg 1980s
"I Have No Mouth, and I Must Scream",https://media.rawg.io/media/games/0a3/0a3a4838159eaf02f7b3d9a805d516d3.jpg,3.36,133,Adventure|Puzzle,Android|iOS|macOS|Linux|PC,Singleplayer|Atmospheric|steam-trading-cards|Story Rich|2D|Sci-fi|Horror|Classic|Female Protagonist|Dark|Retro|Point & Click|Post-apocalyptic|Mature|Cyberpunk|Surreal|1990's|Drama|Cult Classic|Based On A Novel,adventure puzzle android ios macos linux pc singleplayer atmospheric steam-trading-cards story_rich 2d sci-fi horror classic female_protagonist dark retro point_&_click post-apocalyptic mature cyberpunk surreal 1990's drama cult_classic based_on_a_novel
Unpacking,https://media.rawg.io/media/games/c11/c1118fbcfd846c631ecb7646f8efc780.jpg,4.05,475,Casual,Xbox One|Xbox Series S/X|Nintendo Switch|Linux|macOS|PC|PlayStation 4|PlayStation 5,Singleplayer|Steam Achievements|Full controller support|Atmospheric|2D|Female Protagonist|Pixel Graphics|Point & Click|Family Friendly|Cute|Isometric|Management|Relaxing|Mouse only,casual xbox_one xbox_series_s/x nintendo_switch linux macos pc playstation_4 playstation_5 singleplayer steam_achievements full_controller_support atmospheric 2d female_protagonist pixel_graphics point_&_click family_friendly cute isometric management relaxing mouse_only
Shantae and the Pirate's Curse,https://media.rawg.io/media/screenshots/a5a/a5a8e5820043aa1285643f3d243e5664.jpg,3.84,162,Action|Adventure|RPG|Indie|Platformer,Nintendo Switch|Xbox One|Nintendo 3DS|Wii U|PlayStation 4|PC,Singleplayer|Steam Achievements|Full controller support|Steam Cloud|steam-trading-cards|Great Soundtrack|RPG|2D|Funny|Female Protagonist|Pixel Graphics|Anime|Nudity|Cute|controller support|Side Scroller|Metroidvania|Pirates,action adventure rpg indie platformer nintendo_switch xbox_one nintendo_3ds wii_u playstation_4 pc singleplayer steam_achievements full_controller_support steam_cloud steam-trading-cards great_soundtrack rpg 2d funny female_protagonist pixel_graphics anime nudity cute controller_support side_scroller metroidvania pirates
Zombie Army Trilogy,https://media.rawg.io/media/games/2ea/2ea9a19c60a97c3b164020aa1328f429.jpg,3.33,206,Action|Shooter,Xbox One|Nintendo Switch|PC|PlayStation 4,Singleplayer|Steam Achievements|Multiplayer|Full controller support|Steam Cloud|steam-trading-cards|Co-op|Open World|cooperative|First-Person|Third Person|Horror|FPS|Gore|Steam Leaderboards|Female Protagonist|Survival|Third-Person Shooter|Zombies|War|Survival Horror|Post-apocalyptic|World War II|Sniper,action shooter xbox_one nintendo_switch pc playstation_4 singleplayer steam_achievements multiplayer full_controller_support steam_cloud steam-trading-cards co-op open_world cooperative first-person third_person horror fps gore steam_leaderboards female_protagonist survival third-person_shooter zombies war survival_horror post-apocalyptic world_war_ii sniper
Metal Gear Solid,https://media.rawg.io/media/games/bbc/bbce6f1659d35ffc16aed8b66e9990a1.jpg,4.39,1141,Action,PC|Game Boy Color|PlayStation|PlayStation 3,Singleplayer|exclusive,action pc game_boy_color playstation playstation_3 singleplayer exclusive
World of Tanks Blitz,https://media.rawg.io/media/screenshots/587/58785538b2d3a7226fa2c07d36e02b2b.jpeg,2.77,258,Action|Shooter|Adventure|Strategy|Massively Multiplayer,Android|Nintendo Switch|macOS|iOS|PC,Singleplayer|Multiplayer|steam-trading-cards|Open World|First-Person|Horror|FPS|Online Co-Op|Free to Play|Online multiplayer|PvP|Cross-Platform Multiplayer|War|In-App Purchases|Military|Competitive|mmo|online|achievements|battle|World War II|Tanks|tank,action shooter adventure strategy massively_multiplayer android nintendo_switch macos ios pc singleplayer multiplayer steam-trading-cards open_world first-person horror fps online_co-op free_to_play online_multiplayer pvp cross-platform_multiplayer war in-app_purchases military competitive mmo online achievements battle world_war_ii tanks tank
The Elder Scrolls: Legends,https://media.rawg.io/media/games/431/4317e294e88e4c9d77327693b15f499a.jpg,3.2,281,Strategy|Card,Nintendo Switch|iOS|PC|macOS|Android,Singleplayer|Multiplayer|steam-trading-cards|Great Soundtrack|RPG|Fantasy|Free to Play|Online multiplayer|Cross-Platform Multiplayer|In-App Purchases|online|achievements|battle|city|Card Game|Dragons|friends|fun|build|Trading Card Game|collection|Solo|balance|match|fall|arena|brain,strategy card nintendo_switch ios pc macos android singleplayer multiplayer steam-trading-cards great_soundtrack rpg fantasy free_to_play online_multiplayer cross-platform_multiplayer in-app_purchases online achievements battle city card_game dragons friends fun build trading_card_game collection solo balance match fall arena brain
Finding Paradise,https://media.rawg.io/media/games/d6e/d6efe8b1fa59792044e91ec51abbb383.jpg,4.33,243,Adventure|RPG|Indie,iOS|PC|macOS|Linux,Singleplayer|Full controller support|Great Soundtrack|RPG|Story Rich|2D|Horror|Pixel Graphics|RPGMaker|RPG Maker,adventure rpg indie ios pc macos linux singleplayer full_controller_support great_soundtrack rpg story_rich 2d horror pixel_graphics rpgmaker rpg_maker
Tom Clancy's Splinter Cell,https://media.rawg.io/media/games/104/104e82a52297cc7ddd3b05b7e68be04f.jpg,4.17,483,Action|Adventure,PC|PlayStation 3|Xbox 360|Xbox|Game Boy Advance|Classic Macintosh|GameCube|PlayStation 2|Xbox One,Singleplayer|Multiplayer|Atmospheric|Third Person|Difficult|Classic|Stealth|Third-Person Shooter,action adventure pc playstation_3 xbox_360 xbox game_boy_advance classic_macintosh gamecube playstation_2 xbox_one singleplayer multiplayer atmospheric third_person difficult classic stealth third-person_shooter
