name,image,rating,ratings_count,genres,platforms,tags,features
Grand Theft Auto V,https://media.rawg.io/media/games/20a/20aa03a10cda45239fe22d035c0ebe64.jpg,4.47,7256,Strategy,PC|PlayStation 5|Xbox Series S/X|PlayStation 4|PlayStation 3|Xbox 360|Xbox One,Singleplayer|Steam Achievements|Multiplayer|Full controller support|Atmospheric|Great Soundtrack|RPG|Co-op|Open World|cooperative|First-Person|Third Person|Funny|Sandbox|Comedy|Third-Person Shooter|Moddable|Crime|vr mod,strategy pc playstation_5 xbox_series_s/x playstation_4 playstation_3 xbox_360 xbox_one singleplayer steam_achievements multiplayer full_controller_support atmospheric great_soundtrack rpg co-op open_world cooperative first-person third_person funny sandbox comedy third-person_shooter moddable crime vr_mod
The Witcher 3: Wild Hunt,https://media.rawg.io/media/games/618/618c2031a07bbff6b4f611f10b6bcdbc.jpg,4.64,7076,Action|RPG,PlayStation 5|Xbox Series S/X|macOS|PlayStation 4|Nintendo Switch|PC|Xbox One,Singleplayer|Full controller support|Atmospheric|Great Soundtrack|RPG|Story Rich|Open World|Third Person|Fantasy|Sandbox|Action RPG|Dark|Nudity|controller support|Choices Matter|Dark Fantasy|Mature|Medieval|Magic|Multiple Endings,action rpg playstation_5 xbox_series_s/x macos playstation_4 nintendo_switch pc xbox_one singleplayer full_controller_support atmospheric great_soundtrack rpg story_rich open_world third_person fantasy sandbox action_rpg dark nudity controller_support choices_matter dark_fantasy mature medieval magic multiple_endings
Portal 2,https://media.rawg.io/media/games/2ba/2bac0e87cf45e5b508f227d281c9252a.jpg,4.58,6017,Shooter|Puzzle,PlayStation 3|PC|Xbox 360|Linux|macOS|Xbox One,Singleplayer|Steam Achievements|Multiplayer|Full controller support|Steam Cloud|Atmospheric|steam-trading-cards|Co-op|Story Rich|cooperative|First-Person|Sci-fi|FPS|Online Co-Op|Funny|Female Protagonist|Comedy|Local Co-Op|stats|Steam Workshop|Space|Includes level editor|Captions available|Commentary available|Science,shooter puzzle playstation_3 pc xbox_360 linux macos xbox_one singleplayer steam_achievements multiplayer full_controller_support steam_cloud atmospheric steam-trading-cards co-op story_rich cooperative first-person sci-fi fps online_co-op funny female_protagonist comedy local_co-op stats steam_workshop space includes_level_editor captions_available commentary_available science
Counter-Strike: Global Offensive,https://media.rawg.io/media/games/736/73619bd336c894d6941d926bfd563946.jpg,3.57,3607,Shooter,PC|Linux|Xbox 360|PlayStation 3,Steam Achievements|Multiplayer|Full controller support|steam-trading-cards|Co-op|cooperative|First-Person|FPS|Online Co-Op|Tactical|stats|Steam Workshop|PvP|Moddable|War|In-App Purchases|Realistic|Team-Based|Fast-Paced|Military|Competitive|Valve Anti-Cheat enabled|e-sports|Trading,shooter pc linux xbox_360 playstation_3 steam_achievements multiplayer full_controller_support steam-trading-cards co-op cooperative first-person fps online_co-op tactical stats steam_workshop pvp moddable war in-app_purchases realistic team-based fast-paced military competitive valve_anti-cheat_enabled e-sports trading
Tomb Raider (2013),https://media.rawg.io/media/games/021/021c4e21a1824d2526f925eff6324653.jpg,4.06,4052,Action,PlayStation 3|Xbox 360|macOS|PC|Xbox One|PlayStation 4,Singleplayer|Multiplayer|Full controller support|Atmospheric|RPG|Third Person|Exploration|Classic|Female Protagonist|Stealth|Action-Adventure|Third-Person Shooter|Retro|Cinematic|Quick-Time Events|Dinosaurs|Lara Croft,action playstation_3 xbox_360 macos pc xbox_one playstation_4 singleplayer multiplayer full_controller_support atmospheric rpg third_person exploration classic female_protagonist stealth action-adventure third-person_shooter retro cinematic quick-time_events dinosaurs lara_croft
Portal,https://media.rawg.io/media/games/7fa/7fa0b586293c5861ee32490e953a4996.jpg,4.49,4944,Action|Puzzle,macOS|PC|Android|PlayStation 3|Xbox 360|Linux|Nintendo Switch,Singleplayer|Steam Achievements|Atmospheric|Great Soundtrack|Story Rich|First-Person|Sci-fi|Partial Controller Support|FPS|Funny|Classic|Female Protagonist|Comedy|Includes level editor|Captions available|Short|Physics|Dark Humor|Commentary available|Includes Source SDK|Science,action puzzle macos pc android playstation_3 xbox_360 linux nintendo_switch singleplayer steam_achievements atmospheric great_soundtrack story_rich first-person sci-fi partial_controller_support fps funny classic female_protagonist comedy includes_level_editor captions_available short physics dark_humor commentary_available includes_source_sdk science
Left 4 Dead 2,https://media.rawg.io/media/games/d58/d588947d4286e7b5e0e12e1bea7d9844.jpg,4.09,3377,Action|Shooter,Xbox 360|Linux|PC|macOS,Singleplayer|Steam Achievements|Multiplayer|Full controller support|Steam Cloud|steam-trading-cards|Co-op|cooperative|First-Person|Horror|FPS|Online Co-Op|Gore|Survival|Local Co-Op|Tactical|stats|Steam Workshop|Zombies|Moddable|Survival Horror|Post-apocalyptic|Captions available|Replay Value|Team-Based|Valve Anti-Cheat enabled|Commentary available|Includes Source SDK,action shooter xbox_360 linux pc macos singleplayer steam_achievements multiplayer full_controller_support steam_cloud steam-trading-cards co-op cooperative first-person horror fps online_co-op gore survival local_co-op tactical stats steam_workshop zombies moddable survival_horror post-apocalyptic captions_available replay_value team-based valve_anti-cheat_enabled commentary_available includes_source_sdk
The Elder Scrolls V: Skyrim,https://media.rawg.io/media/games/7cf/7cfc9220b401b7a300e409e539c9afd5.jpg,4.42,4853,Action|RPG,PC|Xbox Series S/X|PlayStation 5|Xbox One|PlayStation 4|Nintendo Switch|Xbox 360|PlayStation 3,Singleplayer|Steam Achievements|Steam Cloud|Atmospheric|steam-trading-cards|Great Soundtrack|RPG|Story Rich|Open World|First-Person|Third Person|Partial Controller Support|Fantasy|Sandbox|Action RPG|Steam Workshop|role-playing|Moddable|Character Customization|Dark Fantasy|Medieval|Magic|Lore-Rich|Dragons,action rpg pc xbox_series_s/x playstation_5 xbox_one playstation_4 nintendo_switch xbox_360 playstation_3 singleplayer steam_achievements steam_cloud atmospheric steam-trading-cards great_soundtrack rpg story_rich open_world first-person third_person partial_controller_support fantasy sandbox action_rpg steam_workshop role-playing moddable character_customization dark_fantasy medieval magic lore-rich dragons
Red Dead Redemption 2,https://media.rawg.io/media/games/511/5118aff5091cb3efec399c808f8c598f.jpg,4.59,5394,Action,PC|PlayStation 4|Xbox One,Singleplayer|Multiplayer|Atmospheric|Great Soundtrack|Co-op|Story Rich|Open World|First-Person|Third Person|Partial Controller Support|FPS|Online Co-Op|Gore|Exploration|Sandbox|Violent|Third-Person Shooter|PvP|In-App Purchases|Realistic|Mature|Cinematic|Historical|Crime|Online PvP|3rd-Person Perspective|Blood|America|Masterpiece|Beautiful|Hunting|Western|3rd-person,action pc playstation_4 xbox_one singleplayer multiplayer atmospheric great_soundtrack co-op story_rich open_world first-person third_person partial_controller_support fps online_co-op gore exploration sandbox violent third-person_shooter pvp in-app_purchases realistic mature cinematic historical crime online_pvp 3rd-person_perspective blood america masterpiece beautiful hunting western 3rd-person
BioShock Infinite,https://media.rawg.io/media/games/fc1/fc1307a2774506b5bd65d7e8424664a7.jpg,4.38,4140,Action|Shooter,PlayStation 4|Xbox 360|Nintendo Switch|Linux|PC|PlayStation 3|Xbox One,Singleplayer|Steam Achievements|Full controller support|Steam Cloud|Atmospheric|steam-trading-cards|Great Soundtrack|RPG|Story Rich|First-Person|Sci-fi|FPS|Fantasy|Gore|Controller|Dystopian|Linear|Steampunk|Alternate History|Time Travel|Political,action shooter playstation_4 xbox_360 nintendo_switch linux pc playstation_3 xbox_one singleplayer steam_achievements full_controller_support steam_cloud atmospheric steam-trading-cards great_soundtrack rpg story_rich first-person sci-fi fps fantasy gore controller dystopian linear steampunk alternate_history time_travel political
Half-Life 2,https://media.rawg.io/media/games/b8c/b8c243eaa0fbac8115e0cdccac3f91dc.jpg,4.48,4044,Action|Shooter,PC|macOS|Xbox 360|Linux|Xbox|Android,Singleplayer|Steam Achievements|Multiplayer|Steam Cloud|Atmospheric|steam-trading-cards|Great Soundtrack|Story Rich|First-Person|Sci-fi|Partial Controller Support|Horror|FPS|Classic|Zombies|Moddable|Captions available|Physics|Aliens|Dystopian|Includes Source SDK|Silent Protagonist|vr mod,action shooter pc macos xbox_360 linux xbox android singleplayer steam_achievements multiplayer steam_cloud atmospheric steam-trading-cards great_soundtrack story_rich first-person sci-fi partial_controller_support horror fps classic zombies moddable captions_available physics aliens dystopian includes_source_sdk silent_protagonist vr_mod
Borderlands 2,https://media.rawg.io/media/games/49c/49c3dfa4ce2f6f140cc4825868e858cb.jpg,4.02,3287,Action|Shooter|RPG,PlayStation 3|macOS|PC|Android|Linux|PS Vita|Xbox 360,Singleplayer|Steam Achievements|Multiplayer|Full controller support|Steam Cloud|Atmospheric|steam-trading-cards|RPG|Co-op|Open World|cooperative|Sci-fi|FPS|Online Co-Op|Funny|Comedy|Action RPG|Futuristic|Memes|Stylized|Dark Humor|Loot,action shooter rpg playstation_3 macos pc android linux ps_vita xbox_360 singleplayer steam_achievements multiplayer full_controller_support steam_cloud atmospheric steam-trading-cards rpg co-op open_world cooperative sci-fi fps online_co-op funny comedy action_rpg futuristic memes stylized dark_humor loot
Life is Strange,https://media.rawg.io/media/games/562/562553814dd54e001a541e4ee83a591c.jpg,4.12,3748,Adventure,iOS|PC|Linux|PlayStation 3|macOS|Xbox 360|Android|PlayStation 4|Xbox One,Singleplayer|Full controller support|Atmospheric|steam-trading-cards|Great Soundtrack|Story Rich|Third Person|Female Protagonist|Dark|Point & Click|Mystery|Short|Choices Matter|Memes|Walking Simulator|Multiple Endings|Story|Episodic|Soundtrack|Time Travel|Time Manipulation|student|strange|photography,adventure ios pc linux playstation_3 macos xbox_360 android playstation_4 xbox_one singleplayer full_controller_support atmospheric steam-trading-cards great_soundtrack story_rich third_person female_protagonist dark point_&_click mystery short choices_matter memes walking_simulator multiple_endings story episodic soundtrack time_travel time_manipulation student strange photography
BioShock,https://media.rawg.io/media/games/bc0/bc06a29ceac58652b684deefe7d56099.jpg,4.36,3343,Action|Shooter,PlayStation 3|macOS|PC|Xbox 360,Singleplayer|Atmospheric|Great Soundtrack|RPG|Story Rich|First-Person|Sci-fi|Partial Controller Support|Horror|FPS|Classic|Action RPG|Dark|Dystopian|Steampunk|Alternate History|Political|Underwater,action shooter playstation_3 macos pc xbox_360 singleplayer atmospheric great_soundtrack rpg story_rich first-person sci-fi partial_controller_support horror fps classic action_rpg dark dystopian steampunk alternate_history political underwater
Destiny 2,https://media.rawg.io/media/games/34b/34b1f1850a1c06fd971bc6ab3ac0ce0e.jpg,3.52,2658,Action|Shooter,PlayStation 4|Xbox One|PC|Web|Xbox Series S/X|PlayStation 5,Singleplayer|Multiplayer|Full controller support|Atmospheric|Great Soundtrack|Co-op|Open World|cooperative|First-Person|Sci-fi|FPS|Online Co-Op|Exploration|Free to Play|Online multiplayer|Action-Adventure|PvP|Space|combat|Futuristic|Aliens|Story|3rd-Person Perspective|online|MMORPG|PvE|Loot|Lore-Rich|city|console|friends|Masterpiece|weapons|skill|destroy|collect|hunt|gun|rain|enemy|quick|darkness|defender,action shooter playstation_4 xbox_one pc web xbox_series_s/x playstation_5 singleplayer multiplayer full_controller_support atmospheric great_soundtrack co-op open_world cooperative first-person sci-fi fps online_co-op exploration free_to_play online_multiplayer action-adventure pvp space combat futuristic aliens story 3rd-person_perspective online mmorpg pve loot lore-rich city console friends masterpiece weapons skill destroy collect hunt gun rain enemy quick darkness defender
God of War (2018),https://media.rawg.io/media/games/4be/4be6a6ad0364751a96229c56bf69be59.jpg,4.55,5079,Action,PC|PlayStation 4,Singleplayer|Steam Achievements|Full controller support|Steam Cloud|Atmospheric|RPG|Story Rich|Third Person|Fantasy|Gore|Exploration|Violent|Action-Adventure|Action RPG|Hack and Slash|exclusive|3D|Crafting|combat|true exclusive|3rd-Person Perspective|Blood|PvE|Emotional|Souls-like|Mythology|Remote Play on TV,action pc playstation_4 singleplayer steam_achievements full_controller_support steam_cloud atmospheric rpg story_rich third_person fantasy gore exploration violent action-adventure action_rpg hack_and_slash exclusive 3d crafting combat true_exclusive 3rd-person_perspective blood pve emotional souls-like mythology remote_play_on_tv
Fallout 4,https://media.rawg.io/media/games/d82/d82990b9c67ba0d2d09d4e6fa88885a7.jpg,3.81,3391,Action|RPG,PlayStation 4|PC|PlayStation 5|Xbox One,Singleplayer|Steam Achievements|Full controller support|Steam Cloud|Atmospheric|Great Soundtrack|RPG|Story Rich|Open World|First-Person|Third Person|Sci-fi|FPS|Exploration|Sandbox|Survival|Action RPG|Third-Person Shooter|Post-apocalyptic,action rpg playstation_4 pc playstation_5 xbox_one singleplayer steam_achievements full_controller_support steam_cloud atmospheric great_soundtrack rpg story_rich open_world first-person third_person sci-fi fps exploration sandbox survival action_rpg third-person_shooter post-apocalyptic
PAYDAY 2,https://media.rawg.io/media/games/73e/73eecb8909e0c39fb246f457b5d6cbbe.jpg,3.52,2230,Action|Shooter,Linux|PC|Xbox One,Singleplayer|Steam Achievements|Multiplayer|Full controller support|steam-trading-cards|Great Soundtrack|Co-op|cooperative|First-Person|FPS|Online Co-Op|Funny|Stealth|Tactical|In-App Purchases|Team-Based|Crime|PvE|Heist|Gun Customization,action shooter linux pc xbox_one singleplayer steam_achievements multiplayer full_controller_support steam-trading-cards great_soundtrack co-op cooperative first-person fps online_co-op funny stealth tactical in-app_purchases team-based crime pve heist gun_customization
Limbo,https://media.rawg.io/media/games/942/9424d6bb763dc38d9378b488603c87fa.jpg,4.14,3373,Action|Adventure|Indie|Puzzle|Platformer,PC|Android|PS Vita|PlayStation 4|PlayStation 3|Xbox 360|Linux|macOS|iOS|Xbox One|Nintendo Switch,Singleplayer|Full controller support|Atmospheric|2D|Horror|Difficult|Action-Adventure|Pixel Graphics|Controller|Dark|controller support|Short|Dark Fantasy|Physics|Cinematic|Side Scroller|combat|Linear|Surreal|Puzzle-Platformer|Minimalist|Family Sharing|2D Fighter|Noir|2D Platformer|2D-платформер|2D-файтинг,action adventure indie puzzle platformer pc android ps_vita playstation_4 playstation_3 xbox_360 linux macos ios xbox_one nintendo_switch singleplayer full_controller_support atmospheric 2d horror difficult action-adventure pixel_graphics controller dark controller_support short dark_fantasy physics cinematic side_scroller combat linear surreal puzzle-platformer minimalist family_sharing 2d_fighter noir 2d_platformer 2d-платформер 2d-файтинг
Team Fortress 2,https://media.rawg.io/media/games/46d/46d98e6910fbc0706e2948a7cc9b10c5.jpg,3.68,2923,Action|Shooter,Linux|macOS|PC,Steam Achievements|Multiplayer|steam-trading-cards|Co-op|cooperative|First-Person|Partial Controller Support|FPS|Online Co-Op|Funny|Comedy|Free to Play|Tactical|stats|Steam Workshop|Cross-Platform Multiplayer|Includes level editor|Moddable|In-App Purchases|Captions available|Crafting|Team-Based|Competitive|Valve Anti-Cheat enabled|Robots|Commentary available|Cartoony|Cartoon|Class-Based|Trading,action shooter linux macos pc steam_achievements multiplayer steam-trading-cards co-op cooperative first-person partial_controller_support fps online_co-op funny comedy free_to_play tactical stats steam_workshop cross-platform_multiplayer includes_level_editor moddable in-app_purchases captions_available crafting team-based competitive valve_anti-cheat_enabled robots commentary_available cartoony cartoon class-based trading
DOOM (2016),https://media.rawg.io/media/games/587/587588c64afbff80e6f444eb2e46f9da.jpg,4.38,3596,Action|Shooter,PC|PlayStation 4|Nintendo Switch|Xbox One,Singleplayer|Multiplayer|Atmospheric|Great Soundtrack|Co-op|cooperative|First-Person|Sci-fi|Partial Controller Support|Horror|FPS|Gore|Difficult|Classic|Zombies|Memes|Fast-Paced|Remake|Blood|Demons,action shooter pc playstation_4 nintendo_switch xbox_one singleplayer multiplayer atmospheric great_soundtrack co-op cooperative first-person sci-fi partial_controller_support horror fps gore difficult classic zombies memes fast-paced remake blood demons
Cyberpunk 2077,https://media.rawg.io/media/games/26d/26d4437715bee60138dab4a7c8c59c92.jpg,4.22,2926,Action|Shooter|RPG,Nintendo Switch|PlayStation 4|PC|Xbox Series S/X|PlayStation 5|Xbox One,Singleplayer|Atmospheric|Great Soundtrack|RPG|Story Rich|Open World|First-Person|Sci-fi|FPS|Exploration|Sandbox|Violent|Action-Adventure|Action RPG|role-playing|Nudity|Mature|Cinematic|Futuristic|Sexual Content|Cyberpunk|Crime|Robots|3rd-Person Perspective|Blood|America|Masterpiece|Soundtrack|Hacking|Role Playing Game|immersive|Photorealistic,action shooter rpg nintendo_switch playstation_4 pc xbox_series_s/x playstation_5 xbox_one singleplayer atmospheric great_soundtrack rpg story_rich open_world first-person sci-fi fps exploration sandbox violent action-adventure action_rpg role-playing nudity mature cinematic futuristic sexual_content cyberpunk crime robots 3rd-person_perspective blood america masterpiece soundtrack hacking role_playing_game immersive photorealistic
Terraria,https://media.rawg.io/media/games/f46/f466571d536f2e3ea9e815ad17177501.jpg,4.07,2447,Action|Indie|Platformer,Xbox 360|Wii U|Nintendo 3DS|Xbox One|PlayStation 4|iOS|PC|macOS|Linux|Nintendo Switch|PlayStation 3|PS Vita|Android,Singleplayer|Steam Achievements|Multiplayer|Full controller support|Steam Cloud|Atmospheric|steam-trading-cards|RPG|Co-op|Open World|2D|Online Co-Op|Exploration|Sandbox|Survival|Online multiplayer|Pixel Graphics|role-playing|Family Friendly|controller support|Replay Value|Crafting|Building|overlay,action indie platformer xbox_360 wii_u nintendo_3ds xbox_one playstation_4 ios pc macos linux nintendo_switch playstation_3 ps_vita android singleplayer steam_achievements multiplayer full_controller_support steam_cloud atmospheric steam-trading-cards rpg co-op open_world 2d online_co-op exploration sandbox survival online_multiplayer pixel_graphics role-playing family_friendly controller_support replay_value crafting building overlay
Dota 2,https://media.rawg.io/media/games/6fc/6fcf4cd3b17c288821388e6085bb0fc9.jpg,3.07,2833,Action|Massively Multiplayer,Linux|macOS|PC,Multiplayer|steam-trading-cards|RPG|Co-op|cooperative|Online Co-Op|Fantasy|Difficult|Free to Play|Action RPG|Steam Workshop|PvP|In-App Purchases|Character Customization|Replay Value|Team-Based|RTS|Competitive|Valve Anti-Cheat enabled|Tower Defense|MOBA|e-sports|SteamVR Collectibles,action massively_multiplayer linux macos pc multiplayer steam-trading-cards rpg co-op cooperative online_co-op fantasy difficult free_to_play action_rpg steam_workshop pvp in-app_purchases character_customization replay_value team-based rts competitive valve_anti-cheat_enabled tower_defense moba e-sports steamvr_collectibles
Warframe,https://media.rawg.io/media/games/f87/f87457e8347484033cb34cde6101d08d.jpg,3.42,2103,Action|Shooter|RPG|Massively Multiplayer,iOS|Xbox Series S/X|PlayStation 5|PlayStation 4|Xbox One|Nintendo Switch|PC,Singleplayer|Multiplayer|steam-trading-cards|RPG|Co-op|cooperative|Third Person|Sci-fi|Partial Controller Support|FPS|Online Co-Op|Free to Play|Third-Person Shooter|Space|role-playing|Hack and Slash|In-App Purchases|Futuristic|Parkour|Cyberpunk|PvE|Ninja|looter shooter,action shooter rpg massively_multiplayer ios xbox_series_s/x playstation_5 playstation_4 xbox_one nintendo_switch pc singleplayer multiplayer steam-trading-cards rpg co-op cooperative third_person sci-fi partial_controller_support fps online_co-op free_to_play third-person_shooter space role-playing hack_and_slash in-app_purchases futuristic parkour cyberpunk pve ninja looter_shooter
Grand Theft Auto IV,https://media.rawg.io/media/games/4a0/4a0a1316102366260e6f38fd2a9cfdce.jpg,4.26,3077,Action,Xbox 360|PC|PlayStation 3|Xbox One,Singleplayer|Multiplayer|Atmospheric|Co-op|Open World|cooperative|Third Person|Partial Controller Support|Funny|Gore|Classic|Sandbox|Third-Person Shooter|Moddable|Crime|Dark Humor|Satire|first person mod|Bowling,action xbox_360 pc playstation_3 xbox_one singleplayer multiplayer atmospheric co-op open_world cooperative third_person partial_controller_support funny gore classic sandbox third-person_shooter moddable crime dark_humor satire first_person_mod bowling
Rocket League,https://media.rawg.io/media/games/8cc/8cce7c0e99dcc43d66c8efd42f9d03e3.jpg,3.93,2843,Sports|Racing|Indie,Nintendo Switch|Linux|macOS|Xbox One|PC|PlayStation 4,Singleplayer|Steam Achievements|Multiplayer|Full controller support|Steam Cloud|steam-trading-cards|Great Soundtrack|Co-op|cooperative|Online Co-Op|Funny|Split Screen|Local Co-Op|Local Multiplayer|stats|Steam Workshop|Cross-Platform Multiplayer|Team-Based|Fast-Paced|Competitive|4 Player Local|4 giocatori divano|Football|Soccer|lan party,sports racing indie nintendo_switch linux macos xbox_one pc playstation_4 singleplayer steam_achievements multiplayer full_controller_support steam_cloud steam-trading-cards great_soundtrack co-op cooperative online_co-op funny split_screen local_co-op local_multiplayer stats steam_workshop cross-platform_multiplayer team-based fast-paced competitive 4_player_local 4_giocatori_divano football soccer lan_party
Horizon Zero Dawn,https://media.rawg.io/media/games/b7d/b7d3f1715fa8381a4e780173a197a615.jpg,4.28,3755,Action|RPG,PC|PlayStation 4,Singleplayer|Atmospheric|Great Soundtrack|RPG|Story Rich|Open World|Third Person|Sci-fi|Exploration|Female Protagonist|Stealth|Action RPG|role-playing|exclusive|Post-apocalyptic|Cinematic|Futuristic|Robots|3rd-Person Perspective|Drama|Lore-Rich|3rd-person|Experience|open-world|atmosphere,action rpg pc playstation_4 singleplayer atmospheric great_soundtrack rpg story_rich open_world third_person sci-fi exploration female_protagonist stealth action_rpg role-playing exclusive post-apocalyptic cinematic futuristic robots 3rd-person_perspective drama lore-rich 3rd-person experience open-world atmosphere
Metro 2033,https://media.rawg.io/media/games/120/1201a40e4364557b124392ee50317b99.jpg,3.94,2258,Action|Shooter,Xbox 360|PC,Singleplayer|Steam Achievements|Full controller support|Steam Cloud|Atmospheric|Great Soundtrack|Story Rich|First-Person|Sci-fi|Horror|FPS|Survival|Stealth|Dark|Survival Horror|Post-apocalyptic|Linear|3D Vision|Based On A Novel|Benchmark,action shooter xbox_360 pc singleplayer steam_achievements full_controller_support steam_cloud atmospheric great_soundtrack story_rich first-person sci-fi horror fps survival stealth dark survival_horror post-apocalyptic linear 3d_vision based_on_a_novel benchmark
Rise of the Tomb Raider,https://media.rawg.io/media/games/b45/b45575f34285f2c4479c9a5f719d972e.jpg,4.04,2777,Action,Xbox One|PC|macOS|PlayStation 4,Singleplayer|Steam Achievements|Full controller support|Steam Cloud|Atmospheric|steam-trading-cards|Great Soundtrack|RPG|Story Rich|Open World|Third Person|Exploration|Steam Leaderboards|Female Protagonist|Survival|Stealth|Action-Adventure|Third-Person Shooter|Parkour|Quick-Time Events|Lara Croft,action xbox_one pc macos playstation_4 singleplayer steam_achievements full_controller_support steam_cloud atmospheric steam-trading-cards great_soundtrack rpg story_rich open_world third_person exploration steam_leaderboards female_protagonist survival stealth action-adventure third-person_shooter parkour quick-time_events lara_croft
Batman: Arkham Knight,https://media.rawg.io/media/games/310/3106b0e012271c5ffb16497b070be739.jpg,4.24,2660,Action,PC|Nintendo Switch|Xbox One|PlayStation 4,Singleplayer|Steam Achievements|Full controller support|Steam Cloud|Atmospheric|steam-trading-cards|Story Rich|Open World|Third Person|Horror|Steam Leaderboards|Sandbox|Stealth|Dark|Mature|Beat 'em up|Detective|Comic Book|Superhero|Batman,action pc nintendo_switch xbox_one playstation_4 singleplayer steam_achievements full_controller_support steam_cloud atmospheric steam-trading-cards story_rich open_world third_person horror steam_leaderboards sandbox stealth dark mature beat_'em_up detective comic_book superhero batman
Metal Gear Solid V: The Phantom Pain,https://media.rawg.io/media/games/490/49016e06ae2103881ff6373248843069.jpg,4.16,2516,Action|Shooter,PlayStation 4|PC|Xbox One|PlayStation 3|Xbox 360,Singleplayer|Steam Achievements|Multiplayer|Full controller support|Steam Cloud|Atmospheric|steam-trading-cards|Great Soundtrack|Story Rich|Open World|Third Person|Sci-fi|Steam Leaderboards|Sandbox|Stealth|Tactical|Third-Person Shooter|Dark|Captions available|Replay Value|Cinematic|Heist|Horses,action shooter playstation_4 pc xbox_one playstation_3 xbox_360 singleplayer steam_achievements multiplayer full_controller_support steam_cloud atmospheric steam-trading-cards great_soundtrack story_rich open_world third_person sci-fi steam_leaderboards sandbox stealth tactical third-person_shooter dark captions_available replay_value cinematic heist horses
The Witcher 2: Assassins of Kings Enhanced Edition,https://media.rawg.io/media/games/6cd/6cd653e0aaef5ff8bbd295bf4bcb12eb.jpg,4.16,2169,RPG,macOS|PC|Xbox 360,Singleplayer|Steam Achievements|Steam Cloud|Atmospheric|steam-trading-cards|RPG|Story Rich|Open World|Third Person|Partial Controller Support|Fantasy|Difficult|Steam Leaderboards|Dark|Nudity|Choices Matter|Dark Fantasy|Mature|Medieval|Magic|Multiple Endings|Based On A Novel|Nonlinear,rpg macos pc xbox_360 singleplayer steam_achievements steam_cloud atmospheric steam-trading-cards rpg story_rich open_world third_person partial_controller_support fantasy difficult steam_leaderboards dark nudity choices_matter dark_fantasy mature medieval magic multiple_endings based_on_a_novel nonlinear
Apex Legends,https://media.rawg.io/media/games/737/737ea5662211d2e0bbd6f5989189e4f1.jpg,3.63,2400,Action|Shooter,PlayStation 4|Nintendo Switch|macOS|PC|Xbox One,Multiplayer|Full controller support|Atmospheric|Co-op|First-Person|Sci-fi|FPS|Online Co-Op|Exploration|Survival|Free to Play|Action-Adventure|Tactical|Dark|PvP|Character Customization|Cinematic|combat|Team-Based|Cyberpunk|Battle Royale|Hero Shooter|lootboxes,action shooter playstation_4 nintendo_switch macos pc xbox_one multiplayer full_controller_support atmospheric co-op first-person sci-fi fps online_co-op exploration survival free_to_play action-adventure tactical dark pvp character_customization cinematic combat team-based cyberpunk battle_royale hero_shooter lootboxes
Grand Theft Auto: San Andreas,https://media.rawg.io/media/games/960/960b601d9541cec776c5fa42a00bf6c4.jpg,4.5,4002,Action,macOS|PC|iOS|Xbox|Android|PlayStation 4|PlayStation 3|PlayStation 2|Xbox 360|Xbox One,Singleplayer|Multiplayer|Atmospheric|Great Soundtrack|Story Rich|Open World|Third Person|Partial Controller Support|Funny|Classic|Sandbox|Comedy|Moddable|Mature|Crime|Driving|first person mod|Remote Play on Tablet|Remote Play on Phone|controversial|karaihb,action macos pc ios xbox android playstation_4 playstation_3 playstation_2 xbox_360 xbox_one singleplayer multiplayer atmospheric great_soundtrack story_rich open_world third_person partial_controller_support funny classic sandbox comedy moddable mature crime driving first_person_mod remote_play_on_tablet remote_play_on_phone controversial karaihb
The Witcher: Enhanced Edition Director's Cut,https://media.rawg.io/media/games/ee3/ee3e10193aafc3230ba1cae426967d10.jpg,4.06,2044,Action|RPG,PC|macOS,Singleplayer|Steam Cloud|Atmospheric|Great Soundtrack|RPG|Story Rich|Open World|Third Person|Fantasy|Classic|Action RPG|Nudity|Choices Matter|Dark Fantasy|Mature|Medieval|Magic|Multiple Endings|Based On A Novel,action rpg pc macos singleplayer steam_cloud atmospheric great_soundtrack rpg story_rich open_world third_person fantasy classic action_rpg nudity choices_matter dark_fantasy mature medieval magic multiple_endings based_on_a_novel
Hollow Knight,https://media.rawg.io/media/games/4cf/4cfc6b7f1850590a4634b08bfab308ab.jpg,4.4,2684,Action|Indie|Platformer,PlayStation 4|Linux|macOS|PC|Nintendo Switch|Xbox One,Singleplayer|Steam Achievements|Full controller support|Steam Cloud|Atmospheric|steam-trading-cards|Great Soundtrack|Story Rich|Open World|2D|Exploration|Difficult|Controller|Cute|controller support|Dark Fantasy|Side Scroller|Multiple Endings|Metroidvania|Hand-drawn|Gothic,action indie platformer playstation_4 linux macos pc nintendo_switch xbox_one singleplayer steam_achievements full_controller_support steam_cloud atmospheric steam-trading-cards great_soundtrack story_rich open_world 2d exploration difficult controller cute controller_support dark_fantasy side_scroller multiple_endings metroidvania hand-drawn gothic
